iter	Passed	Remaining
950	3671	189
951	3674	185
952	3676	181
953	3678	177
954	3680	173
955	3682	169
956	3684	165
957	3686	161
958	3688	157
959	3690	153
960	3692	149
961	3694	145
962	3696	142
963	3698	138
964	3701	134
965	3703	130
966	3705	126
967	3707	122
968	3709	118
969	3711	114
970	3713	110
971	3715	107
972	3717	103
973	3719	99
974	3721	95
975	3723	91
976	3725	87
977	3727	83
978	3729	80
979	3731	76
980	3733	72
981	3736	68
982	3738	64
983	3740	60
984	3742	56
985	3743	53
986	3746	49
987	3748	45
988	3749	41
989	3751	37
990	3753	34
991	3754	30
992	3756	26
993	3758	22
994	3759	18
995	3760	15
996	3762	11
997	3763	7
998	3765	3
999	3766	0
	0
